"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CENPI",92.9915737709658,-3.04021515523433,0.158226112356613,-19.2143705609238,6.71116065807361e-70,1.54291255866004e-68
"DRP2",109.291051185417,0.941684405125316,0.285994998111773,3.29266040085528,0.00780735588767102,0.0125158337943929
"TAF7L",43.1683592207047,1.47959245945251,0.302637752782782,4.88898838908074,2.42369825820378e-05,5.00154400846875e-05
"TIMM8A",286.115986142207,-0.715564291479332,0.092569850622665,-7.72999293685942,2.46098821061733e-07,5.96211551881491e-07
"BTK",530.369346683529,-0.903963365341462,0.194993474991019,-4.63586468923176,0.000398593881888983,0.000735876298389092
"RPL36A",14700.9967502145,8.8906528880588,0.133911015119943,66.3922447312904,0,0
"GLA",903.140897971334,-0.544422657729513,0.100931021046941,-5.39400723466689,0.00176669331884548,0.00304641900096709
"HNRNPH2",5593.08924541908,4.86826299575166,0.0661494610731798,73.5949003479559,0,0
"ARMCX4",1372.65144624379,0.853729594892546,0.0907962696690962,9.40269460412783,1.47267592595853e-11,4.70777088714069e-11
"ARMCX1",1276.96016808196,1.27755451362379,0.116574112836142,10.9591613656072,6.00550054672453e-19,2.86761299733336e-18
"ARMCX6",508.968265730201,0.140888685688535,0.0659543428687922,2.13615479376112,0.950971402695349,0.999999999984865
"ARMCX3",2657.7143709538,-0.0193868234554747,0.129087572933771,-0.150183499579942,0.981440420881369,0.999999999984865
"ARMCX2",1152.67008550393,0.0198366512881338,0.138505840989905,0.143218879047705,0.977415165403447,0.999999999984865
"ZMAT1",1627.28587882284,0.895189100242917,0.149286730974126,5.99644117331546,7.73767123391512e-06,1.67100939938611e-05
"TCEAL2",231.162767864962,2.96246514347548,0.264255107981036,11.2106258460218,5.08865040115219e-25,3.19093266880761e-24
"TCEAL6",11.1015250233717,2.38028724699046,0.439202600566179,5.41956546687568,6.17269685730457e-07,1.45215773073174e-06
"BEX5",168.196821791064,0.691606468028127,0.216973831203385,3.18751097398394,0.020917567074996,0.0317209156958061
"TMSB15A",42.2189512776606,1.09633443981446,0.337180562369007,3.25147580308808,0.00606862137320367,0.00985883827433639
"ARMCX5",661.406322978321,-0.210706377955659,0.0633514055944501,-3.32599373255451,0.732452942715065,0.825463457667092
"ARMCX5-GPRASP2",151.103286068771,-0.451851678002362,0.081344215913031,-5.55481017218801,0.00654243674835072,0.0105807871198843
"GPRASP1",1649.94995182426,1.40088199767782,0.13315564065415,10.5206357822752,2.73459419274342e-18,1.26038420438782e-17
"GPRASP2",666.876708111111,8.00059445404684,0.331619850204991,24.1258008201296,4.12492384958879e-121,2.04990360862469e-119
"BHLHB9",284.932290535503,6.1906835685173,0.295226622579465,20.9692591895264,2.3464181403971e-90,7.82877247472114e-89
"LINC00630",96.0082232317945,-1.15948690607442,0.0848803996861325,-13.6602432406295,4.33148823976087e-27,2.92906884791987e-26
"RAB40AL",2.12635277994481,-3.41651698454711,0.128718809094514,-26.5424844168536,6.27459801121802e-134,3.48552276958237e-132
"BEX1",44.1585290021086,2.22804381866963,0.30390743181906,7.3313239012732,3.79008849494084e-11,1.1827305568036e-10
