Geneid,p_value,padj
ACTN3,3.87613364295547e-186,6.728802005233111e-186
ACTN4,6.601125464203608e-134,9.29795134515012e-134
ACTR10,1.415908609783515e-235,3.0633226678872065e-235
ACTR1A,0.0,0.0
ACTR1B,0.0,0.0
ACTR2,3.9990740400872502e-174,6.638883892059186e-174
ACTR3,1.9892951155302504e-155,3.067957046015707e-155
ACTR3B,1.562326526109342e-113,2.0358257930353438e-113
ACTR3BP2,0.0,0.0
ACTR3BP5,0.0,0.0
ACTR3C,1.0393010647879284e-207,1.9815226660878818e-207
ACTR5,0.0,0.0
ACTR6,8.864678076659647e-145,1.307832551819888e-144
ACTR8,1.611576699806551e-74,1.875597327824194e-74
ACTRT1,0.0,0.0
ACTRT2,0.0,0.0
ACTRT3,2.443952645950552e-44,2.6349597621337166e-44
ACVR1,2.3291659364339612e-160,3.664278545982612e-160
ACVR1B,0.0,0.0
ACVR1C,7.884594477442704e-56,8.746562430674094e-56
ACVR2A,9.175107899965425e-187,1.5972152146439133e-186
ACVR2B,2.4882440690667712e-98,3.094044688172032e-98
ACVR2B-AS1,5.425982139951593e-178,9.131482551731999e-178
ACVRL1,3.890853130576306e-272,1.0110948360991971e-271
ACY1,0.0,0.0
ACY3,2.1387713351996437e-257,5.131090051228154e-257
ACYP1,6.222352165522472e-107,7.932637666610709e-107
ACYP2,1.2557887784012841e-300,3.839745130665493e-300
ADA,6.810881562584386e-106,8.653702174104238e-106
ADAD1,0.0,0.0
ADAD2,8.367027417685351e-76,9.774338589719799e-76
ADAL,5.5725659068921065e-84,6.653326977820155e-84
ADAM10,5.039686475389941e-289,1.438910483747247e-288
ADAM11,3.644459873021486e-142,5.315472197925168e-142
ADAM12,1.4420164953368996e-200,2.6620419971645906e-200
ADAM15,0.0,0.0
ADAM17,1.873300734345729e-252,4.393936033779142e-252
ADAM18,0.0,0.0
ADAM19,1.7549864826849964e-53,1.9338953181458485e-53
ADAM2,0.0,0.0
ADAM20,0.0,0.0
ADAM20P1,4.83116059156005e-70,5.561075965407389e-70
ADAM21,1.0389601182780243e-292,3.032198981269265e-292
ADAM21P1,0.0,0.0
ADAM22,2.3160555186239538e-86,2.783425318968468e-86
ADAM23,1.900321028440181e-97,2.357000019329135e-97
ADAM28,4.081894636275296e-130,5.657108415433842e-130
ADAM29,1.2523030316155947e-251,2.926022427432256e-251
ADAM30,0.0,0.0
ADAM32,3.789021022738835e-179,6.399062570786984e-179
ADAM33,0.0,0.0
ADAM3A,0.0,0.0
ADAM3B,0.0,0.0
ADAM5,0.0,0.0
ADAM6,0.0,0.0
ADAM7,0.0,0.0
ADAM8,2.8183365245275978e-19,2.8803879678943275e-19
ADAM9,1.1111701728146616e-219,2.230477947592395e-219
ADAMDEC1,3.0789945519754463e-224,6.322758701809015e-224
ADAMTS1,2.158231696340236e-200,3.980703883404438e-200
ADAMTS10,2.524881017134016e-218,5.035327894196067e-218
ADAMTS12,1.5618292958739212e-60,1.753013099410187e-60
ADAMTS13,5.055278910950813e-58,5.640002987145977e-58
ADAMTS14,9.709144501368344e-29,1.0093617329638541e-28
ADAMTS15,7.923419693486564e-297,2.3704367856397433e-296
ADAMTS16,2.138128971113784e-146,3.1764280185135994e-146
ADAMTS17,5.786431693241644e-32,6.061825612212012e-32
ADAMTS18,1.2430732871065545e-120,1.6580071464686194e-120
ADAMTS19,3.1664284643593513e-233,6.77671025872929e-233
ADAMTS19-AS1,0.0,0.0
ADAMTS2,8.344256506156036e-72,9.63771254127303e-72
ADAMTS20,0.0,0.0
ADAMTS3,3.996317395046637e-19,4.0821300667060236e-19
ADAMTS4,7.714567257044312e-151,1.1681696581794689e-150
ADAMTS5,4.007932845346251e-217,7.951628249138482e-217
ADAMTS6,4.272000289173703e-106,5.432672447276186e-106
ADAMTS7,4.5173976019244295e-55,4.9980087643780904e-55
ADAMTS7P1,1.2233916195315686e-219,2.4546726490714454e-219
ADAMTS8,3.3759854432705586e-96,4.1706652812073475e-96
ADAMTS9,1.834011374895426e-21,1.8818252995049818e-21
ADAMTS9-AS1,3.108876841624927e-154,4.767786611708008e-154
ADAMTS9-AS2,8.857658689497843e-303,2.7436934436566436e-302
ADAMTSL1,9.975590668984971e-70,1.146612748054066e-69
ADAMTSL2,2.0077052863434826e-21,2.059955726950639e-21
ADAMTSL3,6.853603325348207e-59,7.662669983140732e-59
ADAMTSL4,1.7394455938173922e-221,3.5269921049803294e-221
ADAMTSL4-AS1,1.9898156913024345e-36,2.1048202001537833e-36
ADAMTSL5,7.405314904333523e-195,1.3321350914710135e-194
ADAP1,5.039280719955967e-28,5.230093729546799e-28
ADAP2,5.919617628614786e-69,6.789204297944052e-69
ADAR,2.8481835289357524e-279,7.688659581453483e-279
ADARB1,0.0,0.0
ADARB2,1.811229174829237e-97,2.2467399666649617e-97
ADARB2-AS1,0.0,0.0
ADAT1,1.6273167118706767e-163,2.5943318082059592e-163
ADAT2,0.0,0.0
ADAT3,3.0595168258293465e-254,7.234498859802288e-254
ADCK1,3.518867334773444e-234,7.566862941610515e-234
ADCK2,4.898332091280815e-196,8.856541390737356e-196
ADCK5,7.758779417276652e-268,1.9688982398696974e-267
ADCY1,6.652008987184141e-28,6.902332458467153e-28
ADCY10,2.121973960770924e-270,5.4624696414120915e-270
ADCY10P1,0.0,0.0
ADCY2,2.4833052164891843e-97,3.078924033626655e-97
ADCY3,2.763561947965448e-243,6.200979464960186e-243
ADCY4,0.0,0.0
ADCY5,1.3918891154452218e-213,2.721601273376712e-213
ADCY6,7.464642585374303e-281,2.030312237278889e-280
ADCY7,7.185907486988159e-58,8.013966286287982e-58
ADCY8,2.214701433835706e-18,2.2597511993190025e-18
ADCY9,1.7946638636177144e-197,3.2669466157443277e-197
ADCYAP1,1.8956207023952572e-28,1.9693516402828447e-28
ADCYAP1R1,9.845879321404397e-264,2.4464874325060956e-263
ADD1,0.0,0.0
ADD2,3.7776764043008816e-43,4.06094040212081e-43
ADD3,2.165059965949842e-169,3.5338395474286944e-169
ADD3-AS1,1.897643347191536e-109,2.4400391168177103e-109
ADGB,1.131982990499211e-170,1.8553980475015186e-170
ADGRA1,4.207949622553071e-153,6.422102088669091e-153
ADGRA2,3.0158697309810985e-171,4.953797865884912e-171
ADGRA3,4.9365750627624215e-180,8.36655901693353e-180
ADGRB1,4.3494180747382046e-94,5.342278034290339e-94
ADGRB2,1.1311412612362497e-18,1.154712973251016e-18
ADGRB3,7.321116241876987e-73,8.479795771857116e-73
ADGRD1,3.607860869541776e-234,7.756782954555033e-234
ADGRD2,1.1596108126705849e-27,1.2023272696986196e-27
ADGRE1,8.125548920247755e-176,1.357638884904095e-175
ADGRE2,3.637324264341912e-156,5.626940392542376e-156
ADGRE3,1.7588655875078848e-188,3.084008932052512e-188
ADGRE4P,2.638772554374111e-44,2.84447302270282e-44
ADGRE5,4.4561451597764175e-36,4.7089354763490106e-36
ADGRF1,1.4508652119589304e-60,1.6287834921323522e-60
ADGRF2,3.116318104171059e-25,3.2169166082511865e-25
ADGRF3,7.86768475909629e-209,1.5075364005778378e-208
ADGRF4,4.844863265731615e-41,5.183945154298946e-41
ADGRF5,8.16488210446403e-70,9.388615370982362e-70
ADGRG1,3.9680219721613014e-55,4.391450580996049e-55
ADGRG2,1.3425557078852363e-61,1.5102849767112758e-61
ADGRG3,2.1223239350241105e-88,2.565867794580714e-88
ADGRG4,7.51826881260883e-110,9.68340910391059e-110
ADGRG5,5.540932833074927e-46,5.99391268317596e-46
ADGRG6,1.8636774301641255e-68,2.1350039383072357e-68
ADGRG7,0.0,0.0
ADGRL1,1.0029368112485e-310,3.2661410384987e-310
ADGRL2,2.134247494264763e-98,2.6541489849817383e-98
ADGRL3,1.5462065560296372e-70,1.7818639444429835e-70
ADGRL4,8.625669206707962e-142,1.2566274855431796e-141
